"flowerID;""garden"";""species"";""compound"";""tot.vase.days"""
22612;2;2;1;11
22613;2;2;1;20
22614;2;2;1;13
22711;2;2;1;10
22712;2;2;1;15
22713;2;2;1;13
22714;2;2;1;17
22811;2;2;1;13
22812;2;2;1;12
11121;1;1;2;9
11122;1;1;2;17
11124;1;1;2;17
11221;1;1;2;9
11222;1;1;2;9
11223;1;1;2;12
11322;1;1;2;21
11323;1;1;2;11
11324;1;1;2;10
11422;1;1;2;10
11423;1;1;2;8
11424;1;1;2;15
11521;1;1;2;12
11522;1;1;2;16
11523;1;1;2;9
11524;1;1;2;12
11621;1;1;2;22
11622;1;1;2;7
11623;1;1;2;20
11624;1;1;2;14
11722;1;1;2;17
11723;1;1;2;17
11724;1;1;2;9
11821;1;1;2;15
11822;1;1;2;9
12121;1;2;2;23
12122;1;2;2;12
12123;1;2;2;8
12124;1;2;2;15
12221;1;2;2;20
12222;1;2;2;13
12224;1;2;2;13
12321;1;2;2;19
12322;1;2;2;12
12323;1;2;2;11
12324;1;2;2;16
12422;1;2;2;14
12423;1;2;2;18
12424;1;2;2;19
12521;1;2;2;14
12523;1;2;2;19
12621;1;2;2;13
12622;1;2;2;12
12721;1;2;2;14
12722;1;2;2;14
12723;1;2;2;16
12724;1;2;2;11
12821;1;2;2;12
12822;1;2;2;16
12823;1;2;2;14
21122;2;1;2;16
21123;2;1;2;11
21124;2;1;2;15
21221;2;1;2;19
21222;2;1;2;6
21224;2;1;2;11
21321;2;1;2;10
21322;2;1;2;10
21421;2;1;2;13
21422;2;1;2;15
21423;2;1;2;12
21424;2;1;2;10
21521;2;1;2;15
21522;2;1;2;22
21523;2;1;2;7
21524;2;1;2;18
21621;2;1;2;22
21622;2;1;2;8
21623;2;1;2;17
21624;2;1;2;10
21721;2;1;2;13
21722;2;1;2;17
21723;2;1;2;13
21821;2;1;2;8
21823;2;1;2;16
22121;2;2;2;24
22122;2;2;2;22
22123;2;2;2;11
22124;2;2;2;15
22221;2;2;2;11
22222;2;2;2;14
22224;2;2;2;13
22321;2;2;2;11
22322;2;2;2;13
22323;2;2;2;14
22324;2;2;2;14
22421;2;2;2;13
22422;2;2;2;15
22424;2;2;2;13
22521;2;2;2;16
22523;2;2;2;19
22524;2;2;2;16
22622;2;2;2;13
22623;2;2;2;12
22624;2;2;2;13
22721;2;2;2;14
22722;2;2;2;13
22821;2;2;2;12
22823;2;2;2;14
22824;2;2;2;10
11131;1;1;3;16
11132;1;1;3;12
11133;1;1;3;9
11134;1;1;3;10
11232;1;1;3;19
11234;1;1;3;17
11331;1;1;3;18
11332;1;1;3;17
11334;1;1;3;17
11431;1;1;3;13
11432;1;1;3;12
11433;1;1;3;7
11434;1;1;3;15
11531;1;1;3;8
11532;1;1;3;17
11533;1;1;3;10
11534;1;1;3;9
11631;1;1;3;17
11632;1;1;3;20
11731;1;1;3;16
11732;1;1;3;14
11734;1;1;3;11
11831;1;1;3;12
11832;1;1;3;16
11834;1;1;3;16
12131;1;2;3;17
12132;1;2;3;17
12133;1;2;3;13
12134;1;2;3;8
12232;1;2;3;9
12234;1;2;3;14
12331;1;2;3;11
12332;1;2;3;14
12333;1;2;3;16
12431;1;2;3;17
12432;1;2;3;14
12433;1;2;3;15
12434;1;2;3;22
12531;1;2;3;12
12533;1;2;3;11
12534;1;2;3;12
12631;1;2;3;10
12632;1;2;3;11
12634;1;2;3;12
12731;1;2;3;15
12732;1;2;3;14
12734;1;2;3;15
12831;1;2;3;4
12833;1;2;3;9
12834;1;2;3;16
21131;2;1;3;15
21132;2;1;3;17
21134;2;1;3;15
21231;2;1;3;16
21232;2;1;3;11
21233;2;1;3;15
21234;2;1;3;13
21332;2;1;3;16
21333;2;1;3;14
21334;2;1;3;18
21431;2;1;3;15
21432;2;1;3;20
21433;2;1;3;19
21434;2;1;3;12
21531;2;1;3;17
21534;2;1;3;13
21631;2;1;3;12
21632;2;1;3;9
21633;2;1;3;15
21634;2;1;3;11
21731;2;1;3;13
21732;2;1;3;7
21733;2;1;3;16
21734;2;1;3;22
21831;2;1;3;15
22131;2;2;3;14
22133;2;2;3;7
22134;2;2;3;18
22231;2;2;3;8
22233;2;2;3;14
22234;2;2;3;11
22331;2;2;3;15
22332;2;2;3;11
22333;2;2;3;13
22431;2;2;3;13
22432;2;2;3;11
22531;2;2;3;19
22533;2;2;3;9
22534;2;2;3;10
22631;2;2;3;18
22632;2;2;3;12
22633;2;2;3;16
22634;2;2;3;16
22731;2;2;3;11
22732;2;2;3;11
22733;2;2;3;16
22734;2;2;3;17
22831;2;2;3;18
22832;2;2;3;9
22834;2;2;3;11
11141;1;1;4;11
11143;1;1;4;16
11144;1;1;4;15
11241;1;1;4;10
11242;1;1;4;14
11243;1;1;4;16
11244;1;1;4;11
11341;1;1;4;9
11342;1;1;4;12
11343;1;1;4;13
11441;1;1;4;14
11442;1;1;4;13
11443;1;1;4;13
11542;1;1;4;12
11543;1;1;4;22
11641;1;1;4;10
11643;1;1;4;16
11644;1;1;4;14
11742;1;1;4;22
11743;1;1;4;13
11744;1;1;4;13
11841;1;1;4;18
11842;1;1;4;13
11843;1;1;4;18
11844;1;1;4;14
12141;1;2;4;16
12142;1;2;4;17
12143;1;2;4;9
12144;1;2;4;9
12241;1;2;4;12
12242;1;2;4;13
12243;1;2;4;8
12244;1;2;4;10
12341;1;2;4;16
12342;1;2;4;14
12343;1;2;4;10
12344;1;2;4;10
12442;1;2;4;14
12444;1;2;4;13
12541;1;2;4;15
12542;1;2;4;16
12544;1;2;4;19
12642;1;2;4;14
12643;1;2;4;17
12644;1;2;4;16
12741;1;2;4;16
12742;1;2;4;14
12743;1;2;4;9
12841;1;2;4;11
12843;1;2;4;16
21141;2;1;4;7
21142;2;1;4;17
21143;2;1;4;15
21144;2;1;4;12
21241;2;1;4;15
21242;2;1;4;9
21243;2;1;4;8
21341;2;1;4;14
21342;2;1;4;18
21343;2;1;4;18
21344;2;1;4;12
21441;2;1;4;15
21442;2;1;4;13
21443;2;1;4;13
21541;2;1;4;20
21542;2;1;4;11
21543;2;1;4;11
21544;2;1;4;15
21641;2;1;4;17
21642;2;1;4;14
21643;2;1;4;13
21644;2;1;4;16
21741;2;1;4;14
21742;2;1;4;13
21843;2;1;4;18
22141;2;2;4;11
22142;2;2;4;12
22143;2;2;4;9
22243;2;2;4;13
22244;2;2;4;15
22343;2;2;4;14
22344;2;2;4;16
22441;2;2;4;18
22442;2;2;4;9
22443;2;2;4;6
22444;2;2;4;16
22541;2;2;4;16
22542;2;2;4;18
22543;2;2;4;8
22544;2;2;4;5
22642;2;2;4;18
22643;2;2;4;20
22644;2;2;4;11
22741;2;2;4;10
22742;2;2;4;12
22743;2;2;4;13
22744;2;2;4;13
22842;2;2;4;13
22843;2;2;4;13
22844;2;2;4;11
11152;1;1;5;11
11153;1;1;5;15
11154;1;1;5;11
11252;1;1;5;14
11253;1;1;5;15
11254;1;1;5;6
11353;1;1;5;13
11354;1;1;5;14
11451;1;1;5;12
11452;1;1;5;17
11453;1;1;5;13
11454;1;1;5;13
11551;1;1;5;15
11552;1;1;5;13
11553;1;1;5;10
11554;1;1;5;16
11652;1;1;5;15
11653;1;1;5;14
11654;1;1;5;16
11751;1;1;5;15
11752;1;1;5;12
11753;1;1;5;16
11851;1;1;5;12
11852;1;1;5;16
11854;1;1;5;12
12151;1;2;5;13
12152;1;2;5;12
12154;1;2;5;16
12251;1;2;5;16
12252;1;2;5;16
12253;1;2;5;11
12352;1;2;5;10
12353;1;2;5;15
12451;1;2;5;10
12452;1;2;5;11
12454;1;2;5;14
12551;1;2;5;10
12552;1;2;5;10
12553;1;2;5;11
12554;1;2;5;18
12651;1;2;5;18
12652;1;2;5;9
12653;1;2;5;15
12751;1;2;5;10
12752;1;2;5;10
12754;1;2;5;16
12851;1;2;5;14
12852;1;2;5;21
12853;1;2;5;13
12854;1;2;5;28
21151;2;1;5;17
21152;2;1;5;17
21154;2;1;5;13
21251;2;1;5;16
21252;2;1;5;19
21253;2;1;5;14
21254;2;1;5;16
21352;2;1;5;15
21353;2;1;5;10
21354;2;1;5;14
21451;2;1;5;16
21452;2;1;5;15
21453;2;1;5;15
21551;2;1;5;13
21552;2;1;5;13
21553;2;1;5;14
21554;2;1;5;7
21651;2;1;5;12
21654;2;1;5;13
21751;2;1;5;13
21753;2;1;5;14
21851;2;1;5;11
21852;2;1;5;13
21853;2;1;5;7
21854;2;1;5;20
22151;2;2;5;7
22152;2;2;5;14
22153;2;2;5;19
22154;2;2;5;19
22252;2;2;5;16
22254;2;2;5;16
22351;2;2;5;19
22352;2;2;5;11
22353;2;2;5;13
22354;2;2;5;18
22452;2;2;5;25
22454;2;2;5;13
22551;2;2;5;20
22553;2;2;5;15
22554;2;2;5;13
22651;2;2;5;17
22652;2;2;5;13
22654;2;2;5;15
22751;2;2;5;11
22753;2;2;5;14
22754;2;2;5;9
22851;2;2;5;12
22852;2;2;5;14
22853;2;2;5;16
22854;2;2;5;19
11161;1;1;6;15
11162;1;1;6;12
11163;1;1;6;4
11164;1;1;6;15
11261;1;1;6;17
11262;1;1;6;15
11263;1;1;6;20
11264;1;1;6;18
11461;1;1;6;13
11463;1;1;6;12
11464;1;1;6;13
11561;1;1;6;19
11562;1;1;6;8
11563;1;1;6;11
11564;1;1;6;14
11661;1;1;6;17
11662;1;1;6;9
11664;1;1;6;22
11761;1;1;6;14
11762;1;1;6;14
11763;1;1;6;17
11764;1;1;6;9
11862;1;1;6;13
11863;1;1;6;12
11864;1;1;6;11
12162;1;2;6;12
12163;1;2;6;9
12164;1;2;6;17
12261;1;2;6;11
12263;1;2;6;10
12361;1;2;6;15
12362;1;2;6;9
12363;1;2;6;18
12364;1;2;6;9
12461;1;2;6;9
12462;1;2;6;19
12463;1;2;6;11
12561;1;2;6;12
12562;1;2;6;17
12563;1;2;6;19
12564;1;2;6;18
12661;1;2;6;16
12662;1;2;6;13
12663;1;2;6;19
12664;1;2;6;14
12762;1;2;6;11
12763;1;2;6;10
12764;1;2;6;14
12862;1;2;6;13
12864;1;2;6;12
21161;2;1;6;16
21162;2;1;6;15
21163;2;1;6;15
21261;2;1;6;19
21263;2;1;6;14
21264;2;1;6;11
21361;2;1;6;14
21362;2;1;6;17
21363;2;1;6;7
21461;2;1;6;15
21462;2;1;6;13
21463;2;1;6;13
21464;2;1;6;19
21561;2;1;6;13
21563;2;1;6;13
21564;2;1;6;11
21662;2;1;6;16
21663;2;1;6;15
21664;2;1;6;12
21761;2;1;6;19
21762;2;1;6;10
21763;2;1;6;13
21764;2;1;6;15
21863;2;1;6;15
21864;2;1;6;24
22162;2;2;6;16
22163;2;2;6;13
22164;2;2;6;16
22261;2;2;6;14
22262;2;2;6;11
22263;2;2;6;19
22264;2;2;6;11
22361;2;2;6;17
22362;2;2;6;17
22363;2;2;6;16
22364;2;2;6;10
22461;2;2;6;14
22462;2;2;6;17
22463;2;2;6;7
22464;2;2;6;10
22561;2;2;6;15
22562;2;2;6;16
22563;2;2;6;14
22661;2;2;6;15
22662;2;2;6;13
22663;2;2;6;13
22761;2;2;6;11
22764;2;2;6;16
22863;2;2;6;12
22864;2;2;6;12
11171;1;1;7;14
11173;1;1;7;15
11174;1;1;7;20
11271;1;1;7;12
11272;1;1;7;13
11273;1;1;7;20
11274;1;1;7;16
11371;1;1;7;14
11372;1;1;7;17
11373;1;1;7;9
11374;1;1;7;13
11471;1;1;7;7
11472;1;1;7;17
11474;1;1;7;17
11573;1;1;7;18
11574;1;1;7;17
11671;1;1;7;13
11673;1;1;7;10
11771;1;1;7;15
11772;1;1;7;16
11773;1;1;7;9
11774;1;1;7;12
11871;1;1;7;18
11872;1;1;7;15
11874;1;1;7;20
12171;1;2;7;9
12172;1;2;7;16
12173;1;2;7;14
12174;1;2;7;13
12271;1;2;7;17
12272;1;2;7;10
12273;1;2;7;13
12274;1;2;7;12
12371;1;2;7;17
12372;1;2;7;12
12373;1;2;7;13
12374;1;2;7;16
12471;1;2;7;21
12472;1;2;7;13
12474;1;2;7;18
12572;1;2;7;12
12573;1;2;7;13
12671;1;2;7;14
12673;1;2;7;9
12674;1;2;7;15
12772;1;2;7;11
12773;1;2;7;7
12774;1;2;7;19
12872;1;2;7;15
12873;1;2;7;17
21171;2;1;7;15
21173;2;1;7;17
21174;2;1;7;11
21271;2;1;7;12
21272;2;1;7;16
21273;2;1;7;12
21274;2;1;7;13
21371;2;1;7;12
21373;2;1;7;17
21374;2;1;7;9
21472;2;1;7;13
21473;2;1;7;16
21474;2;1;7;14
21573;2;1;7;15
21671;2;1;7;23
21672;2;1;7;20
21673;2;1;7;20
21674;2;1;7;16
21771;2;1;7;16
21772;2;1;7;17
21773;2;1;7;19
21871;2;1;7;20
21872;2;1;7;15
21873;2;1;7;17
21874;2;1;7;13
22172;2;2;7;15
22173;2;2;7;10
22174;2;2;7;25
22271;2;2;7;17
22272;2;2;7;18
22273;2;2;7;10
22373;2;2;7;12
22374;2;2;7;21
22471;2;2;7;16
22472;2;2;7;18
22473;2;2;7;10
22474;2;2;7;18
22571;2;2;7;9
22572;2;2;7;14
22573;2;2;7;8
22574;2;2;7;11
22672;2;2;7;22
22674;2;2;7;19
22771;2;2;7;19
22772;2;2;7;10
22773;2;2;7;15
22774;2;2;7;10
22871;2;2;7;13
22872;2;2;7;17
22874;2;2;7;12
11181;1;1;8;14
11182;1;1;8;23
11183;1;1;8;18
11184;1;1;8;12
11282;1;1;8;13
11283;1;1;8;9
11284;1;1;8;13
11381;1;1;8;12
11383;1;1;8;18
11384;1;1;8;10
11481;1;1;8;7
11482;1;1;8;9
11483;1;1;8;11
11484;1;1;8;7
11581;1;1;8;15
11583;1;1;8;12
11584;1;1;8;10
11682;1;1;8;20
11683;1;1;8;18
11684;1;1;8;15
11781;1;1;8;22
11782;1;1;8;10
11784;1;1;8;23
11882;1;1;8;12
11883;1;1;8;11
12181;1;2;8;7
12182;1;2;8;10
12183;1;2;8;11
12184;1;2;8;12
12282;1;2;8;12
12283;1;2;8;16
12284;1;2;8;12
12381;1;2;8;19
12383;1;2;8;12
12384;1;2;8;18
12482;1;2;8;13
12483;1;2;8;11
12484;1;2;8;11
12581;1;2;8;16
12582;1;2;8;13
12583;1;2;8;10
12584;1;2;8;9
12681;1;2;8;11
12683;1;2;8;9
12684;1;2;8;11
12781;1;2;8;13
12881;1;2;8;15
12882;1;2;8;10
12883;1;2;8;16
12884;1;2;8;16
21181;2;1;8;15
21182;2;1;8;19
21183;2;1;8;16
21184;2;1;8;17
21281;2;1;8;12
21282;2;1;8;19
21283;2;1;8;11
21284;2;1;8;11
21381;2;1;8;6
21382;2;1;8;18
21383;2;1;8;13
21481;2;1;8;7
21482;2;1;8;15
21484;2;1;8;11
21581;2;1;8;11
21582;2;1;8;17
21584;2;1;8;14
21683;2;1;8;11
21684;2;1;8;12
21781;2;1;8;18
21783;2;1;8;11
21881;2;1;8;13
21882;2;1;8;9
21883;2;1;8;11
21884;2;1;8;11
22181;2;2;8;16
22182;2;2;8;11
22183;2;2;8;15
22184;2;2;8;14
22282;2;2;8;16
22284;2;2;8;17
22381;2;2;8;14
22383;2;2;8;12
22384;2;2;8;12
22481;2;2;8;7
22482;2;2;8;23
22484;2;2;8;8
22581;2;2;8;11
22582;2;2;8;13
22583;2;2;8;18
22584;2;2;8;15
22681;2;2;8;14
22682;2;2;8;19
22683;2;2;8;10
22781;2;2;8;10
22782;2;2;8;16
22784;2;2;8;11
22882;2;2;8;10
22883;2;2;8;17
22884;2;2;8;23
11191;1;1;9;10
11192;1;1;9;11
11193;1;1;9;19
11194;1;1;9;6
11291;1;1;9;7
11292;1;1;9;8
11294;1;1;9;15
11391;1;1;9;13
11392;1;1;9;14
11394;1;1;9;13
11491;1;1;9;8
11493;1;1;9;16
11494;1;1;9;19
11591;1;1;9;10
11592;1;1;9;22
11593;1;1;9;7
11691;1;1;9;10
11693;1;1;9;14
11791;1;1;9;17
11792;1;1;9;21
11794;1;1;9;21
11891;1;1;9;18
11892;1;1;9;11
11893;1;1;9;8
11894;1;1;9;15
12191;1;2;9;18
12192;1;2;9;12
12193;1;2;9;13
12292;1;2;9;15
12293;1;2;9;12
12294;1;2;9;16
12391;1;2;9;13
12392;1;2;9;16
12393;1;2;9;11
12394;1;2;9;23
12491;1;2;9;16
12492;1;2;9;17
12591;1;2;9;13
12592;1;2;9;15
12593;1;2;9;8
12691;1;2;9;11
12692;1;2;9;18
12693;1;2;9;10
12791;1;2;9;11
12793;1;2;9;10
12794;1;2;9;9
12891;1;2;9;16
12892;1;2;9;14
12893;1;2;9;13
12894;1;2;9;12
21191;2;1;9;13
21192;2;1;9;11
21193;2;1;9;13
21194;2;1;9;12
21293;2;1;9;7
21294;2;1;9;14
21392;2;1;9;15
21393;2;1;9;10
21394;2;1;9;20
21491;2;1;9;20
21493;2;1;9;12
21494;2;1;9;11
21592;2;1;9;14
21594;2;1;9;11
21691;2;1;9;9
21692;2;1;9;14
21693;2;1;9;13
21694;2;1;9;19
21791;2;1;9;14
21792;2;1;9;20
21793;2;1;9;18
21794;2;1;9;16
21892;2;1;9;24
21893;2;1;9;14
21894;2;1;9;12
22191;2;2;9;17
22192;2;2;9;13
22193;2;2;9;9
22292;2;2;9;16
22294;2;2;9;11
22391;2;2;9;12
22392;2;2;9;23
22393;2;2;9;21
22394;2;2;9;11
22491;2;2;9;14
22492;2;2;9;13
22493;2;2;9;19
22494;2;2;9;7
22591;2;2;9;14
22592;2;2;9;17
22593;2;2;9;11
22594;2;2;9;16
22691;2;2;9;13
22692;2;2;9;14
22693;2;2;9;16
22694;2;2;9;10
22791;2;2;9;17
22792;2;2;9;16
22891;2;2;9;10
22893;2;2;9;14
111101;1;1;10;19
111103;1;1;10;12
111104;1;1;10;13
112102;1;1;10;17
112103;1;1;10;15
113103;1;1;10;7
113104;1;1;10;14
114101;1;1;10;14
114102;1;1;10;16
114103;1;1;10;10
114104;1;1;10;12
115101;1;1;10;9
115102;1;1;10;16
115103;1;1;10;10
115104;1;1;10;15
116101;1;1;10;11
116102;1;1;10;14
116104;1;1;10;20
117101;1;1;10;19
117103;1;1;10;13
117104;1;1;10;8
118101;1;1;10;11
118102;1;1;10;10
118103;1;1;10;11
118104;1;1;10;20
121102;1;2;10;11
121103;1;2;10;12
121104;1;2;10;19
122103;1;2;10;12
122104;1;2;10;13
123101;1;2;10;14
123102;1;2;10;13
123103;1;2;10;13
123104;1;2;10;13
124101;1;2;10;19
124103;1;2;10;16
124104;1;2;10;17
125101;1;2;10;10
125102;1;2;10;16
125103;1;2;10;17
125104;1;2;10;20
126101;1;2;10;12
126102;1;2;10;13
126103;1;2;10;18
127102;1;2;10;21
127103;1;2;10;10
127104;1;2;10;11
128101;1;2;10;19
128102;1;2;10;10
128104;1;2;10;9
211101;2;1;10;11
211102;2;1;10;24
211103;2;1;10;15
211104;2;1;10;11
212102;2;1;10;12
212103;2;1;10;16
213101;2;1;10;12
213103;2;1;10;19
214101;2;1;10;13
214102;2;1;10;11
214103;2;1;10;18
215103;2;1;10;19
215104;2;1;10;14
216101;2;1;10;8
216102;2;1;10;16
216103;2;1;10;13
216104;2;1;10;14
217101;2;1;10;9
217102;2;1;10;9
217103;2;1;10;13
217104;2;1;10;15
218101;2;1;10;18
218102;2;1;10;19
218103;2;1;10;15
218104;2;1;10;12
221101;2;2;10;18
221102;2;2;10;17
221103;2;2;10;16
222102;2;2;10;13
222103;2;2;10;17
223101;2;2;10;17
223103;2;2;10;11
223104;2;2;10;8
224101;2;2;10;13
224102;2;2;10;12
224103;2;2;10;16
224104;2;2;10;18
225101;2;2;10;9
225102;2;2;10;15
225104;2;2;10;13
226101;2;2;10;18
226102;2;2;10;18
226103;2;2;10;10
226104;2;2;10;16
227102;2;2;10;18
227103;2;2;10;13
227104;2;2;10;13
228102;2;2;10;9
228103;2;2;10;17
228104;2;2;10;10
111111;1;1;11;16
111112;1;1;11;7
111113;1;1;11;8
111114;1;1;11;12
112111;1;1;11;10
112112;1;1;11;15
112113;1;1;11;15
113113;1;1;11;8
113114;1;1;11;16
114112;1;1;11;12
114113;1;1;11;13
114114;1;1;11;23
115111;1;1;11;15
115112;1;1;11;17
115113;1;1;11;12
116111;1;1;11;22
116113;1;1;11;11
117111;1;1;11;12
117112;1;1;11;13
117113;1;1;11;20
117114;1;1;11;14
118111;1;1;11;15
118112;1;1;11;13
118113;1;1;11;15
118114;1;1;11;16
121111;1;2;11;14
121113;1;2;11;13
121114;1;2;11;14
122111;1;2;11;14
122113;1;2;11;10
122114;1;2;11;16
123111;1;2;11;12
123112;1;2;11;16
123113;1;2;11;15
124111;1;2;11;11
124113;1;2;11;17
124114;1;2;11;16
125111;1;2;11;11
125112;1;2;11;15
125113;1;2;11;20
125114;1;2;11;15
126111;1;2;11;15
126114;1;2;11;17
127111;1;2;11;20
127112;1;2;11;10
127113;1;2;11;13
128111;1;2;11;14
128112;1;2;11;12
128113;1;2;11;9
128114;1;2;11;15
211111;2;1;11;5
211112;2;1;11;13
211114;2;1;11;18
212112;2;1;11;12
212113;2;1;11;11
212114;2;1;11;9
213111;2;1;11;13
213112;2;1;11;16
213113;2;1;11;23
214111;2;1;11;17
214112;2;1;11;14
214113;2;1;11;19
214114;2;1;11;12
215111;2;1;11;15
215112;2;1;11;11
215113;2;1;11;7
216111;2;1;11;9
216113;2;1;11;17
217111;2;1;11;5
217112;2;1;11;18
217113;2;1;11;21
217114;2;1;11;22
218111;2;1;11;12
218113;2;1;11;12
218114;2;1;11;10
221111;2;2;11;10
221112;2;2;11;15
221114;2;2;11;13
222111;2;2;11;16
222112;2;2;11;13
222113;2;2;11;8
222114;2;2;11;17
223111;2;2;11;17
223112;2;2;11;12
223113;2;2;11;22
223114;2;2;11;15
224111;2;2;11;16
224113;2;2;11;17
224114;2;2;11;21
225111;2;2;11;18
225112;2;2;11;15
225113;2;2;11;15
226111;2;2;11;13
226112;2;2;11;19
226113;2;2;11;14
227111;2;2;11;13
227113;2;2;11;14
228111;2;2;11;11
228113;2;2;11;13
228114;2;2;11;12
111121;1;1;12;14
111122;1;1;12;15
111123;1;1;12;10
111124;1;1;12;13
112123;1;1;12;9
112124;1;1;12;20
113121;1;1;12;12
113122;1;1;12;15
113123;1;1;12;10
113124;1;1;12;13
114121;1;1;12;13
114122;1;1;12;10
114123;1;1;12;15
114124;1;1;12;13
115121;1;1;12;6
115122;1;1;12;12
115123;1;1;12;12
116122;1;1;12;18
116123;1;1;12;19
117121;1;1;12;23
117123;1;1;12;12
117124;1;1;12;16
118121;1;1;12;16
118122;1;1;12;11
118123;1;1;12;12
121121;1;2;12;16
121122;1;2;12;18
121124;1;2;12;12
122121;1;2;12;12
122122;1;2;12;11
122123;1;2;12;16
122124;1;2;12;13
123122;1;2;12;17
123123;1;2;12;21
123124;1;2;12;18
124121;1;2;12;11
124123;1;2;12;18
125121;1;2;12;13
125122;1;2;12;21
125123;1;2;12;10
125124;1;2;12;15
126121;1;2;12;12
126124;1;2;12;15
127121;1;2;12;13
127122;1;2;12;9
127123;1;2;12;13
127124;1;2;12;16
128121;1;2;12;14
128122;1;2;12;18
128123;1;2;12;15
211121;2;1;12;16
211124;2;1;12;11
212121;2;1;12;10
212122;2;1;12;17
212123;2;1;12;19
212124;2;1;12;12
213121;2;1;12;17
213122;2;1;12;19
213124;2;1;12;9
214121;2;1;12;12
214122;2;1;12;10
214123;2;1;12;17
214124;2;1;12;20
215122;2;1;12;12
215123;2;1;12;14
216121;2;1;12;16
216122;2;1;12;8
216123;2;1;12;15
216124;2;1;12;15
217122;2;1;12;9
217123;2;1;12;11
217124;2;1;12;19
218122;2;1;12;13
218123;2;1;12;17
218124;2;1;12;22
221121;2;2;12;12
221122;2;2;12;15
221123;2;2;12;16
221124;2;2;12;13
222121;2;2;12;23
222123;2;2;12;15
222124;2;2;12;14
223121;2;2;12;6
223122;2;2;12;19
224121;2;2;12;12
224122;2;2;12;14
224123;2;2;12;15
224124;2;2;12;11
225121;2;2;12;9
225122;2;2;12;14
225124;2;2;12;17
226121;2;2;12;15
226122;2;2;12;14
226123;2;2;12;10
226124;2;2;12;15
227123;2;2;12;14
227124;2;2;12;19
228121;2;2;12;14
228122;2;2;12;13
228123;2;2;12;19
111131;1;1;13;15
111132;1;1;13;14
111133;1;1;13;14
112133;1;1;13;14
113131;1;1;13;14
113132;1;1;13;11
113133;1;1;13;8
113134;1;1;13;16
114131;1;1;13;17
114132;1;1;13;20
114133;1;1;13;14
114134;1;1;13;13
115131;1;1;13;10
115134;1;1;13;12
116131;1;1;13;14
116132;1;1;13;17
116133;1;1;13;13
116134;1;1;13;18
117131;1;1;13;10
117132;1;1;13;13
117133;1;1;13;9
117134;1;1;13;15
118132;1;1;13;14
118133;1;1;13;22
118134;1;1;13;12
121131;1;2;13;12
121132;1;2;13;12
121133;1;2;13;12
122133;1;2;13;15
122134;1;2;13;22
123131;1;2;13;17
123132;1;2;13;12
123133;1;2;13;14
123134;1;2;13;11
124131;1;2;13;12
124133;1;2;13;17
124134;1;2;13;9
125131;1;2;13;13
125132;1;2;13;13
125133;1;2;13;13
125134;1;2;13;18
126133;1;2;13;17
126134;1;2;13;12
127131;1;2;13;18
127132;1;2;13;16
127134;1;2;13;12
128131;1;2;13;20
128132;1;2;13;15
128133;1;2;13;11
128134;1;2;13;17
211131;2;1;13;18
211132;2;1;13;15
211133;2;1;13;23
212131;2;1;13;14
212132;2;1;13;13
212133;2;1;13;25
212134;2;1;13;13
213131;2;1;13;12
213132;2;1;13;16
213133;2;1;13;13
213134;2;1;13;18
214131;2;1;13;15
214132;2;1;13;21
214133;2;1;13;15
214134;2;1;13;13
215131;2;1;13;8
215134;2;1;13;13
